name,Manufacturer,Part #,Form Factor,Interface,Buffer Cache,BD-ROM Speed,DVD-ROM Speed,CD-ROM Speed,BD-R Speed,BD-R Dual-Layer Speed,BD-RE Speed,BD-RE Dual-Layer Speed,DVD+R Speed,DVD+RW Speed,DVD+R Dual-Layer Speed,DVD-R Speed,DVD-RW Speed,DVD-R Dual-Layer Speed,DVD-RAM Speed,CD-R Speed,CD-RW Speed,User Rating,Price
Lite-On IHAS324-07,Lite-On,ihas324-07,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,12X,24X,6X,,,48X,32X,"(14 Ratings, 4.1 Average)",
Pioneer BDR-213EBK,Pioneer,BDR-213EBK,"5.25""",SATA 1.5 Gb/s,4 MB,,,,,,,,,,,,,,,,,,
HP 1270i,HP,HP 1270i,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,32X,"(3 Ratings, 4.0 Average)",$79.95+
LG GH22LP21,LG,GH22LP21,"5.25""",PATA 100,2 MB,,16X,48X,,,,,22X,8X,16X,22X,6X,12X,12X,48X,32X,,
LG GH22NP21,LG,GH22NP21,"5.25""",PATA 100,2 MB,,16X,48X,,,,,22X,8X,16X,22X,6X,12X,12X,48X,32X,,
LG GH24NS70 OEM,LG,GH24NS70 OEM,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,12X,48X,32X,"(3 Ratings, 4.7 Average)",
HP 447328-B21,HP,447328-B21,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,50X,,,,,16X,8X,,16X,8X,,,40X,32X,"(8 Ratings, 3.5 Average)",
Plextor PX-L871A,Plextor,PX-L871A,"5.25""",PATA 100,2 MB,,16X,48X,,,,,22X,8X,12X,22X,6X,12X,12X,48X,24X,,
Lite-On iHAS424-98,Lite-On,iHAS424-98,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,32X,"(7 Ratings, 4.6 Average)",
Lite-On iHDP118-04,Lite-On,iHDP118-04,"5.25""",PATA 100,,,18X,48X,,,,,,,,,,,,,,"(1 Rating, 3.0 Average)",
LG WH12LS30,LG,WH12LS30,"5.25""",SATA 3.0 Gb/s,4 MB,10X,16X,48X,12X,12X,2X,2X,16X,8X,8X,16X,6X,8X,12X,48X,24X,"(3 Ratings, 5.0 Average)",
Sony AD-7280S-02,Sony,AD-7280S-02,"5.25""",SATA 3.0 Gb/s,1 MB,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,32X,"(1 Rating, 3.0 Average)",
Lite-On IHAS324-98,Lite-On,IHAS324-98,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,,24X,6X,,,48X,32X,"(12 Ratings, 4.5 Average)",$69.90
Samsung SH-224BB/RSBS,Samsung,SH-224BB/RSBS,"5.25""",SATA 3.0 Gb/s,1.5 MB,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,12X,48X,24X,"(18 Ratings, 4.1 Average)",
Samsung SH-118BB,Samsung,SH-118BB,"5.25""",SATA 3.0 Gb/s,,,18X,48X,,,,,,,,,,,,,,"(6 Ratings, 4.0 Average)",
Silverstone SST-SOB02,Silverstone,"SST-SOB02, SOB02","5.25"" Slim Slot Load",SATA 3.0 Gb/s,,,,24X,6X,6X,6X,6X,8X,8X,8X,8X,8X,8X,4X,24X,24X,"(2 Ratings, 3.0 Average)",
OcUK CD-004-OK,OcUK,CD-004-OK,"5.25""",SATA 3.0 Gb/s,,8X,,,,,,,16X,16X,8X,16X,16X,8X,,48X,24X,,
LG GH22NS70 OEM,LG,GH22NS70 OEM,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,22X,8X,8X,22X,6X,8X,12X,48X,32X,"(2 Ratings, 3.5 Average)",
Samsung SH-B123L/RSBP,Samsung,SH-B123L/RSBP,"5.25""",SATA 3.0 Gb/s,,12X,16X,48X,,,,,16X,8X,8X,16X,16X,8X,12X,48X,24X,"(8 Ratings, 4.2 Average)",
Sony DDU1681S-0B,Sony,DDU1681S-0B,"5.25""",SATA 3.0 Gb/s,,,18X,48X,,,,,,,,,,,,,,"(4 Ratings, 4.2 Average)",
Sony BC-5500H-01,Sony,BC-5500H-01,"5.25"" Slim",SATA 3.0 Gb/s,4.5 MB,4X,8X,24X,,,,,8X,4X,4X,8X,4X,4X,5X,16X,10X,,
Lite-On iHAS-324-98B,Lite-On,iHAS-324-98B,"5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,12X,48X,32X,"(1 Rating, 4.0 Average)",
Samsung SH-S222A,Samsung,SH-S222A,"5.25""",PATA 100,2 MB,,16X,48X,,,,,22X,8X,16X,22X,6X,12X,12X,48X,32X,,
Asus DRW-24B3LT,Asus,DRW-24B3LT,"5.25""",SATA 3.0 Gb/s,1.5 MB,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,24X,"(2 Ratings, 5.0 Average)",
Plextor PX-LB950SA,Plextor,PX-LB950SA,"5.25""",SATA 1.5 Gb/s,8 MB,8X,16X,48X,12X,8X,2X,2X,16X,8X,8X,16X,6X,8X,12X,48X,24X,"(1 Rating, 5.0 Average)",
