name,Manufacturer,Part #,Type,Efficiency Rating,Wattage,Length,Modular,Color,Fanless,ATX 4-pin Connectors,EPS 8-pin Connectors,PCIe 16-pin 12VHPWR/12V-2x6 Connectors,PCIe 12-pin Connectors,PCIe 8-pin Connectors,PCIe 6+2-pin Connectors,PCIe 6-pin Connectors,SATA Connectors,AMP/Molex 4-pin Connectors
Thermaltake Toughpower GF1 (2024)         (8),Thermaltake,PS-TPD-0850FNFAGU-P,ATX,80+ Gold,850 W,140 mm,Full,Black,No,0,2,0,0,0,6,0,8,4
Corsair CX (2023)         (13),Corsair,"CP-9020278-NA, CP-9020278-EU, CP-9020278-AU, CP-9020278-WW, CP-9020278-UK",ATX,80+ Bronze,650 W,125 mm,No,Black,No,0,1,0,0,0,2,0,3,2
Thermaltake Smart         (45),Thermaltake,PS-SPD-0600NPCWUS-W,ATX,80+,600 W,140 mm,No,,No,0,1,0,0,0,2,0,6,3
Corsair SF850 (2024)         (18),Corsair,"CP-9020256, CP-9020256-NA, CP-9020256-AU, CP-9020256-UK, CP-9020256-EU",SFX,80+ Platinum,850 W,100 mm,Full,Black,No,0,2,1,0,0,3,0,8,3
Corsair RM1000e (2025)         (2),Corsair,"CP-9020297-NA, CP-9020297-UK, CP-9020297-AU, CP-9020297-EU",ATX,,1000 W,140 mm,Full,Black,No,0,2,1,0,0,4,0,6,2
Corsair RM650e (2025)         (2),Corsair,"CP-9020302-NA, CP-9020302-AU, CP-9020302-EU, CP-9020302-UK",ATX,,650 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,6,2
MSI MAG A850GL PCIE5         (16),MSI,"MAG A850GL PCIE5 WHITE, 306-7ZP8A24-CE0",ATX,80+ Gold,850 W,140 mm,Full,White,No,0,2,1,0,0,4,0,8,4
Cooler Master MWE GOLD 750 V2 FULL MODULAR         (19),Cooler Master,"MPE-7501-AFAAG-US, MPE-7501-AFAAG-UK, MPE-7501-AFAAG-EU, MPE-7501-AFAAG-ST, MPE-7501-AFAAG-AU, MPE-7501-AFAAG-BR, MPE-7501-AFAAG-KR, MPE-7501-AFAAG-TW, MPE-7501-AFAAG-JP, MPE-7501-AFAAG-IN",ATX,80+ Gold,750 W,160 mm,Full,Black,No,0,2,0,0,0,4,0,12,4
Corsair CX (2023)         (6),Corsair,"CP-9020279-NA, CP-9020279-EU, CP-9020279-AU, CP-9020279-WW, CP-9020279-UK",ATX,80+ Bronze,750 W,125 mm,No,Black,No,0,1,0,0,0,3,0,3,2
Gigabyte UD750GM         (43),Gigabyte,GP-UD750GM,ATX,80+ Gold,750 W,140 mm,Full,Black,No,0,2,0,0,0,4,0,8,3
Corsair AX1600i         (17),Corsair,"CP-9020087-NA, CP-9020087-UK, CP-9020087-EU, CP-9020087-AU",ATX,80+ Titanium,1600 W,200 mm,Full,,No,0,2,0,0,0,8,0,5,3
MSI MAG A750BN PCIE5         (3),MSI,"MAG A750BN PCIE5, 306-7ZP2C11-CE0",ATX,80+ Bronze,750 W,140 mm,No,Black,No,0,2,1,0,0,2,0,5,2
Lian Li EDGE         (5),Lian Li,EG1000 White,ATX,80+ Platinum,1000 W,182 mm,Full,White,No,0,2,1,0,0,4,0,12,4
EVGA SuperNOVA 1000 GT         (22),EVGA,"220-GT-1000-X1, 220-GT-1000-X2",ATX,80+ Gold,1000 W,150 mm,Full,Black,No,0,2,0,0,0,8,0,12,4
Cooler Master MWE Gold 850 - V2         (22),Cooler Master,"MPE-8501-AFAAG-US, MPE-8501-AFAAG-U2, MPE-8501-AFAAG-UK, MPE-8501-AFAAG-EU, MPE-8501-AFAAG-JP, MPE-8501-AFAAG-AU",ATX,80+ Gold,850 W,160 mm,Full,Black,No,0,2,0,0,0,4,0,12,4
Corsair CX (2023)         (7),Corsair,"CP-9020277-NA, CP-9020277-WW, CP-9020277-EU, CP-9020277-AU, CP-9020277-UK",ATX,80+ Bronze,550 W,125 mm,No,Black,No,0,1,0,0,0,2,0,3,2
Thermaltake Toughpower GF1 (2024)         (5),Thermaltake,PS-TPD-0750FNFAGU-P,ATX,80+ Gold,750 W,140 mm,Full,Black,No,0,2,0,0,0,4,0,8,4
Corsair HX1500i (2023)         (8),Corsair,"CP-9020261-NA, CP-9020261-UK, CP-9020261-WW, CP-9020261-EU, CP-9020261-JP, CP-9020261-AU",ATX,80+ Platinum,1500 W,180 mm,Full,Black,No,0,2,1,0,0,7,0,8,8
be quiet! Pure Power 12 M         (18),be quiet!,"BN504, BN343, BN715",ATX,80+ Gold,750 W,160 mm,Full,Black,No,0,2,1,0,0,2,0,5,2
Thermaltake Toughpower GF A3 Snow         (6),Thermaltake,"PS-TPD-0850FNFAGU-N, PS-TPD-0850FNFAGE-N, PS-TPD-0850FNFAGA-N",ATX,80+ Gold,850 W,140 mm,Full,White,No,0,2,1,0,0,4,0,4,8
Segotep GN         (2),Segotep,CP-PSU-ST-GN650,ATX,80+ Gold,650 W,160 mm,No,Black,No,0,2,0,0,0,4,0,6,5
Silverstone HELA         (0),Silverstone,SST-HA2050-PT,ATX,,2050 W,180 mm,Full,Black / White,No,0,2,0,1,0,18,0,12,3
Corsair RM850x (2021)         (215),Corsair,"CP-9020200-NA, CP-9020200-UK, CP-9020200-EU, CP-9020200-AU",ATX,80+ Gold,850 W,160 mm,Full,Black,No,0,3,0,0,0,4,0,14,4
Lian Li SP         (19),Lian Li,"SP750, G89.SP750B.00EU",SFX,80+ Gold,750 W,100 mm,Full,Black,No,0,2,0,0,0,3,0,8,4
Corsair RM750x (2024)         (2),Corsair,"CP-9020285-NA, CP-9020285-UK, CP-9020285-AU, CP-9020285-EU",ATX,,750 W,160 mm,Full,Black,No,0,2,1,0,0,2,0,8,3
Thermaltake Toughpower GX2         (24),Thermaltake,PS-TPD-0600NNFAGU-2,ATX,80+ Gold,600 W,140 mm,No,Black,No,0,1,0,0,0,2,0,6,3
ADATA XPG Core Reactor II         (1),ADATA,"COREREACTORII650G-BKCUS, COREREACTORII650G-BKCEU, COREREACTORII650G-BKCAU",ATX,80+ Gold,650 W,140 mm,Full,Black,No,0,2,1,0,0,4,0,8,4
Corsair RM750         (41),Corsair,"CP-9020231-NA, CP-9020231-UK, CP-9020231-AU",ATX,80+ Gold,750 W,160 mm,Full,White / Black,No,0,3,0,0,0,4,0,14,4
Lian Li EDGE         (2),Lian Li,EG1300 White,ATX,80+ Platinum,1300 W,182 mm,Full,White,No,0,2,1,0,0,4,0,12,4
EVGA 750 GQ         (61),EVGA,"210-GQ-0750, 210-GQ-0750-V1, 210-GQ-0750-V2, 210-GQ-0750-V3",ATX,80+ Gold,750 W,165 mm,Semi,,No,0,2,0,0,0,6,0,9,3
Thermaltake Smart         (23),Thermaltake,PS-SPD-0700NPCWUS-W,ATX,80+,700 W,140 mm,No,,No,0,1,0,0,0,2,0,6,5
Apevia Galaxy         (10),Apevia,ATX-GX650W,ATX,80+ Gold,650 W,160 mm,Semi,Black,No,0,2,0,0,0,4,0,4,4
