name,Manufacturer,Model,Part #,Channels,Digital Audio,Signal-To-Noise Ratio,Sample Rate,Chipset,Interface,Color
HT Omega STRIKER         (0),HT Omega,,STRIKER,7.1,,,,C-Media CMI8770,PCI,
Vantec UGT-S100         (1),Vantec,,UGT-S100,7.1,,,48 kHz,,PCI,
HT Omega CLARO II         (0),HT Omega,,CLARO II,7.1,24-bit,120 dB,192 kHz,C-Media CMI8788,PCI,
Rosewill RC-701         (1),Rosewill,,RC-701,5.1,,,,C-Media CMI8738,PCI,
StarTech PCISOUND5CH         (1),StarTech,,PCISOUND5CH,5.1,24-bit,,48 kHz,C-Media CMI8738,PCI,
StarTech PCISOUND4CH         (0),StarTech,,PCISOUND4CH,4.0,16-bit,,48 kHz,C-Media CMI8738,PCI,
Diamond XtremeSound XS71         (0),Diamond,XtremeSound XS71,XS71,7.1,16-bit,,96 kHz,,PCI,
Asus Xonar Essence         (1),Asus,Xonar Essence,90-YAA0E0-0UAN00Z,7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCI,
Encore ENM232-8VIA         (0),Encore,,ENM232-8VIA,7.1,24-bit,,96 kHz,VIA VT1723,PCI,
Asus Xonar DS         (0),Asus,Xonar DS,90-YAA0F0-0UAN00Z,7.1,24-bit,107 dB,192 kHz,ASUS AV200,PCI,
Creative Labs Recon3D Fatal1ty Champion         (1),Creative Labs,Recon3D Fatal1ty Champion,"70SB135400000, SB-RECON3D-FAC",5.1,24-bit,102 dB,96 kHz,Sound Core3D,PCIe x1,
Rosewill RC-702         (0),Rosewill,,RC-702,7.1,16-bit,,96 kHz,C-Media CMI8768,PCI,
StarTech PCISOUND4LP         (0),StarTech,,PCISOUND4LP,4.0,16-bit,,48 kHz,C-Media CMI8738,PCI,
M-Audio Audiophile 192         (0),M-Audio,Audiophile 192,9900-50768-00,4.0,24-bit,,192 kHz,,PCI,
SIIG IC-710012-S2         (0),SIIG,,IC-710012-S2,7.1,24-bit,92 dB,96 kHz,,PCI,
