name,Manufacturer,Model,Part #,Resolution,Connection,Focus Type,Operating System,FOV Angle,Sensor Pixels,Privacy Shutter,Built-In Lighting,Automatic Lighting Adjust
Avermedia 4K UHD Webcam 510         (0),Avermedia,4K UHD Webcam 510,PW510,"4k, 1080p, 720p, 480p",USB 3.2 Gen 1 Type-C,,Windows,85°,8 MP,Yes,No,Yes
Logitech C525         (4),Logitech,C525,960-000715,720p,USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",69°,,No,No,Yes
Microsoft LifeCam HD-3000 L2         (0),Microsoft,LifeCam HD-3000 L2,T3H-00011,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,,No,No,Yes
Anker PowerConf C300         (0),Anker,PowerConf C300,"A3361, A3361011","1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",115°,2 MP,Yes,No,
Microsoft LifeCam Studio for Business         (0),Microsoft,LifeCam Studio for Business,5WH-00002,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",75°,5 MP,No,No,Yes
Creative Labs BlasterX Senz3D         (0),Creative Labs,BlasterX Senz3D,VF081000000,"1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,Windows,77°,,No,No,
Creative Labs Live! Cam Sync HD         (0),Creative Labs,Live! Cam Sync HD,73VF077000000,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,3.7 MP,No,No,
Green Extreme T300         (1),Green Extreme,T300,GX-T300,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",94°,,No,No,Yes
Green Extreme T200 + Live Streaming Bundle         (0),Green Extreme,T200 + Live Streaming Bundle,GX-T200 K1,1080p,USB 2.0 Type-A,Auto,"Windows, OS X, Android",,,No,No,Yes
Avermedia HD Webcam 310         (0),Avermedia,HD Webcam 310,PW310O,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",,2 MP,No,No,
Wansview 102JD         (0),Wansview,,102JD,1080p,USB 2.0 Type-A,,"Windows, OS X, Android",90°,2 MP,No,No,Yes
Adesso Cybertrack H4P         (0),Adesso,,Cybertrack H4P,1080p,USB 2.0 Type-A,Manual,"Windows, OS X",78°,,Yes,No,
Wansview 105JD         (0),Wansview,,105JD,1080p,USB 2.0 Type-A,Manual,"Windows, OS X, Android",90°,2 MP,Yes,No,Yes
