name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
MSI B650 GAMING PLUS WIFI         (50),MSI,"B650 GAMING PLUS WIFI, 7E26-001R, 911-7E26-001",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,1,"2280/22110 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek 8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus PRIME B650-PLUS WIFI         (4),Asus,"PRIME B650-PLUS WIFI, 90MB1KP0-M0EAY0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Black / Silver,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus PRIME B550M-A WIFI II         (30),Asus,"PRIME B550M-A WIFI II, 90MB19X0-M0AAY0, 90MB19X0-M0EAY0",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-4866",Blue / Silver,1,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6,Yes,No
MSI MAG B650 TOMAHAWK WIFI         (117),MSI,"MAG B650 TOMAHAWK WIFI, 7D75-001R, B650TOMAHAWKWIFI, 911-7D75-001",AM5,ATX,AMD B650,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600",Black,2,1,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key",6,1 x 2.5 Gb/s Ports (Realtek RTL8125B),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte X870E AORUS ELITE WIFI7         (8),Gigabyte,"X870E AORUS ELITE WIFI7, X870E A ELITE WIFI7",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,3,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte B650 EAGLE AX         (41),Gigabyte,"B650 EAGLE AX, B650 EAGLE AX 1.0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Gray / Black,4,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,3,1,1,No,Wi-Fi 6E,Yes,No
MSI MAG X870 TOMAHAWK WIFI         (25),MSI,"MAG X870 TOMAHAWK WIFI, 7E51-001R, 911-7E51-07S",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,3,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key",4,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte A520M K V2         (6),Gigabyte,A520M K V2,AM4,Micro ATX,AMD A520,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-5100",Brown / Black,1,1,2280 M-key,4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,None,Yes,No
Gigabyte X870 EAGLE WIFI7         (9),Gigabyte,X870 EAGLE WIFI7,AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
ASRock B650M PG Lightning Wifi         (6),ASRock,"B650M PG Lightning Wifi, 90-MXBMW0-A0UAYZ",AM5,Micro ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Silver / Black,2,,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
Gigabyte X870 AORUS ELITE WIFI7 ICE         (13),Gigabyte,"X870 AORUS ELITE WIFI7 ICE, X870 A ELITE WF7 ICE",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,3,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
MSI B550M PRO-VDH WIFI         (132),MSI,"B550M PRO-VDH WIFI, 7C95-001R, 911-7C95-008",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,1,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek RTL8111HN),Depends on CPU,2,1,1,No,Wi-Fi 5,Yes,No
MSI B760 GAMING PLUS WIFI         (16),MSI,"B760 GAMING PLUS WIFI, 7D98-007R, 911-7D98-007",LGA1700,ATX,Intel B760,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800",Black / Silver,5,,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
MSI B450M-A PRO MAX II         (4),MSI,"B450M-A PRO MAX II, 7C52-036R",AM4,Micro ATX,AMD B450,64 GB,DDR4,2,"DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133",Black,1,1,2242/2260/2280 M-key,4,1 x 2.5 Gb/s Ports (Realtek 8125),Depends on CPU,2,1,,No,None,Yes,No
Asus ROG STRIX X870E-E GAMING WIFI         (2),Asus,"ROG STRIX X870E-E GAMING WIFI, 90MB1IB0-M0EAY0, 90MB1IB0-M0AAY0",AM5,ATX,AMD X870E,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black,2,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2280/22110 M-key, 2280 M-key",4,1 x 5 Gb/s Ports (Realtek),Depends on CPU,3,2,,No,Wi-Fi 7,Yes,No
MSI PRO Z790-A MAX WIFI         (18),MSI,"PRO Z790-A MAX WIFI, 7E07-014R, 911-7E07-014",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800",Silver / Black,3,1,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2230 E-key",6,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
Gigabyte B650M GAMING PLUS WIFI         (8),Gigabyte,"B650M GAMING PLUS WF, B650M GAMING PLUS WIFI",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Silver / Black,1,1,"2580 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
Gigabyte B550M K         (14),Gigabyte,"B550M K, GA-B550M-K",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4733",Brown / Silver,1,1,"2280 M-key, 2280 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,1,1,,No,None,Yes,No
Asus TUF GAMING B850-PLUS WIFI         (3),Asus,"TUF GAMING B850-PLUS WIFI, 90MB1J30-M0AAY0, 90MB1J30-M0EAY0",AM5,ATX,AMD B850,192 GB,DDR5,4,"DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black / Silver,2,2,"2280 M-key, 2242/2260/2280/22110 M-key, 2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
ASRock B650M Pro RS WiFi         (73),ASRock,"B650M Pro RS WiFi, 90-MXBLZ0-A0UAYZ",AM5,Micro ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200",Black / Silver,2,,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
Gigabyte B850 EAGLE WIFI6E         (1),Gigabyte,B850 EAGLE WIFI6E,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Gray / Black,4,,"2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus TUF GAMING B650-PLUS WIFI         (34),Asus,"TUF GAMING B650-PLUS WIFI, 90MB1BZ0-M0AAY0, 90MB1BZ0-M0EAY0",AM5,ATX,AMD B650,128 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,2,"2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
MSI MAG B550 TOMAHAWK MAX WIFI         (36),MSI,"MAG B550 TOMAHAWK MAX WIFI, 7C94-043R",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3300, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4300, DDR4-4400, DDR4-4533, DDR4-4600, DDR4-4800, DDR4-4866, DDR4-5000, DDR4-5100",Silver / Black,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2230 E-key",6,1 x 2.5 Gb/s Ports (Realtek RTL8125B),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
Gigabyte B550M AORUS ELITE AX         (5),Gigabyte,B550M AORUS ELITE AX,AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4733",Black / Silver,2,1,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,1,1,,No,Wi-Fi 6E,Yes,No
ASRock B450M-HDV R4.0         (40),ASRock,"B450M-HDV R4.0, 90-MXB9N0-A0UAYZ",AM4,Micro ATX,AMD B450,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200",Black / White,1,1,2242/2260/2280 M-key,4,1 x 1 Gb/s Ports,Depends on CPU,2,1,,No,None,Yes,No
Gigabyte B650 GAMING X AX V2         (37),Gigabyte,B650 GAMING X AX V2,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Gray / Black,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
Asus ROG STRIX X870-A GAMING WIFI         (5),Asus,"ROG STRIX X870-A GAMING WIFI, 90MB1IF0-M0AAY0, 90MB1IF0-M0EAY0",AM5,ATX,AMD X870,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2280 M-key, 2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte B760M GAMING PLUS WIFI DDR4         (3),Gigabyte,"B760M G P WIFI DDR4, B760M GAMING PLUS WIFI DDR4",LGA1700,Micro ATX,Intel B760,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3300, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3666, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4300, DDR4-4400, DDR4-4500, DDR4-4600, DDR4-4700, DDR4-4800, DDR4-4933, DDR4-5000, DDR4-5133, DDR4-5333",Black / Silver,1,2,"2280 M-key, 2280 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
MSI MAG B850 TOMAHAWK MAX WIFI         (3),MSI,"MAG B850 TOMAHAWK MAX WIFI, 7E62-002R",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4800, DDR5-8400",Black / Green,3,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
ASRock A620I LIGHTNING WIFI         (12),ASRock,"A620I LIGHTNING WIFI, 90-MXBMN0-A0UAYZ",AM5,Mini ITX,AMD A620,96 GB,DDR5,2,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Black,1,,"2280 M-key, 2280 M-key, 2230 E-key",2,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
ASRock B850I Lightning WiFi         (6),ASRock,"B850I Lightning WiFi, 90-MXBQR0-A0UAYZ, 90-MXBQR-A0UAYZ",AM5,Mini ITX,AMD B850,128 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200",Black,1,,"2280 M-key, 2280 M-key, 2230 E-key",2,1 x 2.5 Gb/s Ports (Intel Killer E3100G),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
MSI PRO B650-S WIFI         (29),MSI,"PRO B650-S WIFI, 7E26-003R",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000",Black,2,1,"2280/22110 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte B850 AORUS ELITE WIFI7 ICE         (6),Gigabyte,"B850 AORUS ELITE WIFI7 ICE, B850 A ELITE WF7 ICE",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",White / Silver,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
Asus ROG STRIX B550-F GAMING WIFI II         (33),Asus,"STRIX B550-F GAMING WIFI II, ROG STRIX B550-F GAMING WIFI II, 90MB19V0-M0EAY0",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-3000, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4666, DDR4-4800, DDR4-4866, DDR4-5100",Black / Red,2,3,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",6,1 x 2.5 Gb/s Ports (Intel I225-V),Depends on CPU,2,1,,No,Wi-Fi 6,Yes,No
Asus ROG ZENITH II EXTREME ALPHA         (4),Asus,"ROG ZENITH II EXTREME ALPHA, ZENITH II EXTREME ALPHA, 90MB14K0-M0EAY0",sTRX4,EATX,AMD TRX40,256 GB,DDR4,8,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-3400, DDR4-3733, DDR4-3800, DDR4-4133, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600",Black / Silver,4,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",8,"1 x 1 Gb/s Ports (Intel I211-AT), 1 x 10 Gb/s Ports (Aquantia AQC-107 10G)",No,2,2,2,Yes,Wi-Fi 6,Yes,No
MSI B550-A PRO         (119),MSI,"B550-A PRO, 7C56-002R",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black / Silver,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,1,No,None,Yes,No
