name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Asus TUF GAMING B650M-E WIFI         (7),Asus,"TUF GAMING B650M-E WIFI, 90MB1FV0-M0EAY0",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
MSI MEG X870E GODLIKE         (0),MSI,"MEG X870E GODLIKE, 7E48-001R",AM5,EATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,2,,"2260/2280 M-key, 2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key",4,"1 x 10 Gb/s Ports (Marvell AQtion AQC113C), 1 x 5 Gb/s Ports (Realtek 8126)",Depends on CPU,2,2,1,No,Wi-Fi 7,Yes,No
NZXT N7 Z790         (8),NZXT,N7-Z79XT-W1,LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Black,3,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
Asus TUF GAMING X870-PLUS WIFI         (4),Asus,"TUF GAMING X870-PLUS WIFI, 90MB1IU0-M0EAY0, 90MB1IU0-M0AAY0",AM5,ATX,AMD X870,192 GB,DDR5,4,"DDR5-5600, DDR5-8000",Black,2,,"2280 M-key, 2280 M-key, 2280 M-key, 2242/2260/2280 M-key",2,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
ASRock B850M Pro-A WiFi         (2),ASRock,"B850M Pro-A WiFi, 90-MXBR9-A0UAYZ, 90-MXBR90-A0UAYZ",AM5,Micro ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,1,,"2280 M-key, 2280 M-key, 2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
ASRock B650M Pro RS         (21),ASRock,"B650M Pro RS, 90-MXBLP0-A0UAYZ",AM5,Micro ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200",Black / Silver,2,,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,None,Yes,No
MSI PRO B550M-VC WIFI         (53),MSI,PRO B550M-VC WIFI,AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,4,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2230 E-key",8,1 x 1 Gb/s Ports (Realtek RTL8111HN),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte X870I AORUS PRO ICE         (4),Gigabyte,X870I AORUS PRO ICE,AM5,Mini ITX,AMD X870,128 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",White,1,,"2280 M-key, 2280 M-key",2,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,1,1,1,No,Wi-Fi 7,Yes,No
ASRock X870 Pro RS WiFi         (6),ASRock,"X870 Pro RS WiFi, 90-MXBQ00-A0UAYZ",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2280 M-key, 2230/2242/2260/2280 M-key, 2280 M-key, E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
Asus TUF GAMING Z790-PLUS WIFI         (7),Asus,"TUF GAMING Z790-PLUS WIFI, 90MB1D80-M0EAY0, 90MB1D80-M0AAY0, 90MB1D80-M1EAY0",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Black / Gray,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
MSI PRO B760M-P DDR4         (4),MSI,"PRO B760M-P DDR4, 7E02-001R, 911-7E02-001",LGA1700,Micro ATX,Intel B760,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-4000, DDR4-4200, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4800",Black,1,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek 8111H),Depends on CPU,2,1,,No,None,Yes,No
MSI MAG X870E TOMAHAWK WIFI         (4),MSI,"MAG X870E TOMAHAWK WIFI, 7E59-004R",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-8400",Black / Green,3,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Asus ROG STRIX Z790-A GAMING WIFI II         (7),Asus,"ROG STRIX Z790-A GAMING WIFI II, 90MB1FN0-M0EAY0, 90MB1FN0-M0AAY0",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black / Silver,2,1,"2242/2260/2280/22110 M-key, 2280 M-key, 2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
