name,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,Full Disk Write Throughput,Full Disk Write Throughput (Lowest 10 Seconds),Random Read Throughput QD1,Random Read Throughput QD32,Random Write Throughput QD1,Random Write Throughput QD32,Sequential Read Throughput QD1,Sequential Read Throughput QD4,Sequential Write Throughput QD1,Sequential Write Throughput QD4
Patriot P400 Lite         (2),Patriot,P400LP1KGM28H,1 TB,$0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP T-FORCE G50         (1),TEAMGROUP,TM8FFE002T0C129,2 TB,$0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Klevv CRAS C910         (2),Klevv,K02TBM2SP0-C91,2 TB,$0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital Gold         (0),Western Digital,WD241KRYZ,24 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Crucial P310         (0),Crucial,CT2000P310SSD8,2 TB,$0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo Plus         (239),Samsung,"MZ-V7S500B/AM, MZ-V7S500BW",500 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Silicon Power A60         (8),Silicon Power,SP002TBP34A60M28,2 TB,$0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO w/Heatsink         (0),Samsung,"MZ-VAP4T0C/AM, MZ-VAP4T0C, MZ-VAP4T0CW",4 TB,$0.121,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Patriot P300         (4),Patriot,P300P1TBM28,1 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Corsair MP400         (1),Corsair,CSSD-F8000GBMP400,8 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Seagate IronWolf NAS         (4),Seagate,ST8000VN004,8 TB,$0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston Fury Renegade         (14),Kingston,SFYRS/1000G,1 TB,$0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM790         (7),Lexar,"LNM790X001T-RNNNG, LNM790X001T-RNNNU",1 TB,$0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 Pro w/Heatsink         (13),Samsung,"MZ-V9P2T0CW, MZ-V9P2T0GW",2 TB,$0.090,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
