name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Deepcool AK620 ZERO DARK         (39),Deepcool,AK620 ZERO DARK,"R-AK620-BKNNMT-G-1, AK620 ZERO DARK",500 - 1850 RPM,28 dB,Black,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Noctua NH-L9A-AM5         (2),Noctua,,NH-L9A-AM5,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,37 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+",No,No
Thermalright Assassin Spirit 120 EVO         (14),Thermalright,Assassin Spirit 120 EVO,"AS120 EVO, Assassin Spirit 120 EVO",2000 RPM,28.2 dB,Black,156 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright AQUA ELITE ARGB V4         (4),Thermalright,,AQUA ELITE 360 ARGB V4,1550 RPM,25.6 dB,Black,48 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Cooler Master Hyper 212 Spectrum V3         (9),Cooler Master,Hyper 212 Spectrum V3,RR-S4NA-17PA-R1,650 - 1750 RPM,27.2 dB,Black / Silver,152 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
TRYX PANORAMA SE ARGB         (0),TRYX,,L-P360L-AM3M-G0K,500 - 1850 RPM,,Black,125 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Noctua NH-U12A chromax.black         (57),Noctua,,"NH-U12A chromax.black, NH-U12A ch.bk",450 - 2000 RPM,18.8 - 22.6 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Aqua Elite V3         (11),Thermalright,,Aqua Elite 360 White V3,1500 RPM,25.6 dB,White,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Thermalright Assassin X SE         (3),Thermalright,,"AX90SE V2, AX90SE V2 D6, Assassin-X-90-SE-V2",2200 RPM,23.85 dB,Black / Silver,118 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
NZXT Kraken 240 RGB         (8),NZXT,Kraken 240 RGB,RL-KR240-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 240 mm,No
