name,Manufacturer,Part #,Interface,Features
Belkin F2CU040btBLK         (0),Belkin,F2CU040BTBLK,USB Type-C 3.2 Gen 1,"Product Type: Gigabit Ethernet Card, Harness the reliability of Ethernet for your USB-C device with the USB-C to Gigabit Ethernet Adapter. Where wireless connectivity is inconsistent, overextended, or even non-existent, this adapter allows you to connect seamlessly and with confidence. With the speed and reliability of Gigabit Ethernet, even the largest downloads can be possible without fear of interruption."
Belkin B2B145-BLK         (0),Belkin,B2B145-BLK,USB Type-C 3.2 Gen 1,
Tripp Lite U436-000-GB         (0),Tripp Lite,U436-000-GB,USB Type-C 3.2 Gen 1,
Edimax EN-9320TX-E         (0),Edimax,EN-9320TX-E,PCIe x4,
StarTech ST1000BT32         (1),StarTech,ST1000BT32,PCI,"IEEE 802.1Q VLAN tagging for up to 64 VLANs, IEEE 802.3x compliant flow control for full duplex and backpressure for half duplex, LED indicator shows network link/activity and 10/100/1000Mbits/sec selection, One RJ-45 connector supports 10/100/1000Mbits/sec network speeds and Auto-MDI/MDI-X, Supports 32-bit 33/66MHz PCI Local Bus Master for high-speed operation"
Syba SY-PEX24028         (0),Syba,SY-PEX24028,PCIe x1,"Designed to Meet PCI Express Specification Revision 1.0a, Single-lane (or x1) PCI Express Throughput Supports Rate of 2.5Gbps, Fully Compliant with IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, 10/100/1000M Data Auto-negotiation, LEDs Indicate the Status of Data Transmission, Support Wake On Lan (WOL) Power Management (Optional), Full Duplex Mode Doubles the Network Connections Speed., OS: Windows 7 (32/64 bit), Vista (32/64 bit), Windows XP (32/64 bit), Mac OS X 10.5 or later"
StarTech ST1000SPEX         (0),StarTech,"ST1000SPEX, CBL-SFF8087OCF-05M",PCIe x1,"Designed to meet PCI Express Base Specification Revision 1.0a, Dual brackets allow this card to fit in both standard and low profile/small form factor computer cases, Supports Jumbo Frames - reduce overhead of large file transfers by enabling larger packet size instead of standard Ethernet packet size"
D-Link DFE530TX+         (1),D-Link,DFE530TX+,PCI,"Minimum System Requirements: Computer with: Windows Vista, Windows XP SP2, Windows 2000 SP4, or Mac OS X (v10.2/v10.3), CD-ROM Drive, 20MB Hard Disk Space, 32-Bit PCI Slot, Protocol: CSMA/CD, Connect to a Network and Surf the Web with Your Desktop PC, Windows Automatically Detects the Adapter for Easy Installation, Up and Running in Minutes"
Rosewill RNG-407-Dual         (0),Rosewill,RNG-407-Dual,PCIe x1,"Designed to Meet PCI Express Specification Revision 1.1, compatible with x4, x8, x16, Single-lane (or x1) PCI Express Throughput Supports Rate of 2.5Gbps, Fully Compliant with IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, 10/100/1000M Data Auto-negotiation, 9K bytes Jumbo Frame Support, LEDs Indicate the Status of Data Transmission, Support Wake On Lan (WOL) Power Management, Full Duplex Mode Doubles the Network Connections Speed., OS support: Windows 8 (32/64 bit), Windows 7 (32/64 bit), Vista (32/64 bit), Windows XP (32/64 bit), Mac OS X 10.5, 10.6, 10.7, 10.8, Linux 2.6.x and higher kernel OS"
StarTech USB31000SPTB         (0),StarTech,USB31000SPTB,USB Type-A 3.2 Gen 1,"Chipset ID: ASIX - AX88179, VIA - VL811, USB Pass-Through: Yes, Connector Type(s): 1 - RJ-45 Female, 1 - USB 3.0 A (9 pin; SuperSpeed) Female, 1 - USB 3.0 A (9 pin; SuperSpeed) Male, Full Duplex Support: Yes, Max Distance: 100 m / 330 ft, Maximum Data Transfer Rate: 5 Gbps (USB 3.0), 2 Gbps (Ethernet - Full-Duplex), OS Compatibility: Windows 8 (32/64bit), 7 (32/64), Vista(32/64), XP(32/64), Windows Server 2008 R2, 2003(32/64), Mac OS 10.6 - 10.8, Linux Kernel 2.6.14 - 3.5.0, Cable Length: 6.1 in [155 mm], Color: Black, Enclosure Type: Plastic, Power Adapter Included: USB-Powered, Crossover Detection & Auto-Correction (Auto MDIX), IEEE 802.1Q VLAN Tagging support, Jumbo Frame support, Supports Checksum Offload (IPv4, IPv6, TCP, UDP) and Large Send Offload, Compact, lightweight design for maximum portability."
Syba SY-PEX24056         (0),Syba,SY-PEX24056,PCIe x4,
Netgear GA311         (0),Netgear,GA311,PCI,
