name,Manufacturer,Part #,Type,Interface,Capacity,Price / GB,Color,Cache,RPM,User Rating,Price
ADATA DashDrive Durable HD650,ADATA,"AHD650-1TU3-CBK, AHD650-1TU31-CBK",Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.072,,,,"(4 Ratings, 4.5 Average)",$71.76
Samsung T7 Portable,Samsung,MU-PC2T0H/AM,Portable,USB Type-C 3.2 Gen 1,2000 GB,$0.075,Blue / Silver,,SSD,,$149.99
LaCie  Rugged Mini,LaCie,"LAC9000298, 9000298",Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.050,Orange / Silver,,5400 RPM,,$99.99
Seagate Backup Plus Slim,Seagate,STHN1000400,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.059,Black,,,"(3 Ratings, 4.7 Average)",$59.00
Western Digital ELEMENTS,Western Digital,WDBUZG0010BBK-NESN,Portable,USB Type-A 3.2 Gen 1,1000 GB,,,,,"(7 Ratings, 4.9 Average)",
Seagate One Touch,Seagate,STLC18000400,Desktop,USB Type-A 3.2 Gen 1,18000 GB,,Black,,,,
Seagate Backup Plus Hub,Seagate,STEL8000100,Desktop,USB Type-A 3.2 Gen 2,8000 GB,$0.031,,,5400 RPM,"(2 Ratings, 4.5 Average)",$249.99+
Seagate Expansion,Seagate,STEB8000100,Desktop,USB Type-A 3.2 Gen 1,8000 GB,$0.027,,,5400 RPM,"(2 Ratings, 4.0 Average)",$214.99+
Western Digital ELEMENTS,Western Digital,WDBWLG0040HBK-NESN,Desktop,USB Type-A 3.2 Gen 1,4000 GB,$0.032,,,,"(1 Rating, 4.0 Average)",$129.99
Seagate Game Drive Xbox GamePass Edition,Seagate,STEA4000407,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.057,White,,5400 RPM,,$229.00+
Samsung T5,Samsung,MU-PA500B/AM,Portable,USB Type-C 3.2 Gen 1,500 GB,$0.398,,,SSD,"(3 Ratings, 5.0 Average)",$199.00
Samsung T7 Shield,Samsung,MU-PE2T0K/AM,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.080,Beige,,SSD,,$159.99
TEAMGROUP M200,TEAMGROUP,T8FED9002T0C102,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.062,Black,,SSD,,$124.99
Kingston XS2000,Kingston,SXS2000/4000G,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.067,Silver,,SSD,,$269.99
