name,Manufacturer,Part #,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color
HP HyperX Pulsefire Haste 2         (2),HP,6N0B0AA,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer DeathAdder V3 Pro         (2),Razer,RZ01-04630200-R3U1,Optical,Wireless,30000,Right,White
Redragon Mammoth         (21),Redragon,M801,Laser,Wired,16400,Right,Black / Red
Glorious MODEL D         (15),Glorious,GD-BLACK,Optical,Wired,12000,Right,Black
Glorious MODEL O         (18),Glorious,GO-WHITE,Optical,Wired,12000,Right,White
SteelSeries Rival 5         (8),SteelSeries,62551,Optical,Wired,18000,Right,Black
Asus P707 ROG SPATHA X         (1),Asus,"P707 ROG SPATHA X, 90MP0220-BMUA00, ROG SPATHA X",Optical,Wireless,19000,Right,Black
Razer Basilisk X HyperSpeed         (34),Razer,"RZ01-03150100-R3U1, RZ01-03150100-R3M1, RZ01-03150100-R3G1",Optical,Wireless,16000,Right,Black / Green
SteelSeries Prime         (1),SteelSeries,62533,Optical,Wired,18000,Right,Black
Corsair HARPOON RGB         (25),Corsair,CH-9311011-NA,Optical,Wireless,10000,Right,Black
HP HyperX Pulsefire Haste         (5),HP,"HMSH1-A-BK/G, 4P5P9AA",Optical,Wired,16000,Right,Black
Logitech TrackMan         (1),Logitech,9043690403,Trackball,Wireless,,Right,Black / Silver
SteelSeries Aerox 9         (1),SteelSeries,62618,Optical,Wireless,18000,Right,Black
Corsair SCIMITAR ELITE WIRELESS MMO         (0),Corsair,"CH-9314311-NA, CH-9314311-EU",Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer DeathAdder V2         (32),Razer,"RZ01-03210100-R3U1, RZ01-03210100-R3M1, RZ01-03210100",Optical,Wired,20000,Right,Black
Asus ROG Keris II WL Ace         (0),Asus,"90MP03N0-BMUA00, P714 ROG KERIS II WL ACE/BLK",Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Redragon M602         (19),Redragon,M602,Optical,Wired,7200,Right,Black
Glorious Model I 2         (1),Glorious,GLO-MS-IWV2-MB,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Genius DX 120         (0),Genius,31010105100,Optical,Wired,1000,Both,Black
Redragon M908 IMPACT MMO         (3),Redragon,M908,Optical,Wired,12400,Right,Black
Logitech MX Master 3         (20),Logitech,910-005647,Laser,Wireless,4000,Right,Black / Silver
Logitech G600 MMO Gaming Mouse         (70),Logitech,910-002864,Laser,Wired,8200,Right,Black
Logitech G705         (2),Logitech,910-006365,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Logitech G402         (43),Logitech,"910-004069, 910-004068, 910-004067",Optical,Wired,4000,Right,Black
SteelSeries Rival 650 Wireless         (8),SteelSeries,62456,Optical,Wireless,12000,Right,Black
Logitech PRO X Superlight 2         (0),Logitech,"910-006795, 910-006799, 910-006798",Optical,"Wired, Wireless",32000,Right,Pink
Corsair M75 AIR         (2),Corsair,"CH-931D100-NA, CH-931D100-EU, CH-931D100-AP",Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
