name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Corsair 4000D Airflow         (117),Corsair,CC-9011201-WW,ATX Mid Tower,White,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³"
Corsair 7000D AIRFLOW         (18),Corsair,CC-9011218WW,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","450 mm / 17.717""","6 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"550 mm x 248 mm x 600 mm, 21.654"" x 9.764"" x 23.622""","81.84 L, 2.89 ft³"
Lian Li A3-mATX         (3),Lian Li,"A3-mATX-WD WHITE, G99.A3W-WD.00",MicroATX Mini Tower,White / Brown,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","415 mm / 16.339""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"443 mm x 194 mm x 306 mm, 17.441"" x 7.638"" x 12.047""","26.298 L, 0.929 ft³"
Zalman S2         (18),Zalman,S2,ATX Mid Tower,Black,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"424 mm x 196 mm x 462 mm, 16.693"" x 7.717"" x 18.189""","38.394 L, 1.356 ft³"
Fractal Design North         (42),Fractal Design,FD-C-NOR1C-04,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","300 mm / 11.811"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447 mm x 215 mm x 469 mm, 17.598"" x 8.465"" x 18.465""","45.073 L, 1.592 ft³"
Antec FLUX PRO         (4),Antec,"0-761345-10148-6, 0-761345-10154-7, FLUX PRO",ATX Full Tower,Black / Brown,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455 mm / 17.913""","2 x Internal 2.5"", 4 x Internal 3.5""",8 x Full-Height,"530 mm x 245 mm x 545 mm, 20.866"" x 9.646"" x 21.457""","70.768 L, 2.499 ft³"
Antec C5 ARGB         (6),Antec,"0-761345-10034-2, C5 ARGB WHITE",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,,
Fractal Design Focus G         (69),Fractal Design,"FD-CA-FOCUS-BK-W, CA-FOCUS-BK-W",ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","380 mm / 14.961""","2 x External 5.25"", 2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"464 mm x 205 mm x 444 mm, 18.268"" x 8.071"" x 17.48""","42.233 L, 1.491 ft³"
NZXT H5 Flow (2024)         (1),NZXT,CC-H52FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"430 mm x 225 mm x 465 mm, 16.929"" x 8.858"" x 18.307""","44.989 L, 1.589 ft³"
Lian Li Lancool 207         (7),Lian Li,"LAN207RW, PC-LAN207RW, LANCOOL 207 WHITE, G99.LAN207RW.00, LANCOOL 207RW",ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","375 mm / 14.764""","2 x Internal 3.5""",7 x Full-Height,"455.6 mm x 219 mm x 456 mm, 17.937"" x 8.622"" x 17.953""","45.498 L, 1.607 ft³"
Antec C8         (7),Antec,"C8, 0-761345-10019-9",ATX Full Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","440 mm / 17.323""","2 x Internal 3.5"", 4 x Internal 2.5""",8 x Full-Height,"464 mm x 303 mm x 476 mm, 18.268"" x 11.929"" x 18.74""","66.922 L, 2.363 ft³"
Lian Li A4-H20 X4         (18),Lian Li,"A4-H20 X4, A4-H20 X4 Black, A4-H2O X4 Black, A4-H2O X4, G99.A4H2OX4.00",Mini ITX Desktop,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"322 mm / 12.677""","1 x Internal 2.5""",3 x Full-Height,"326 mm x 140 mm x 244 mm, 12.835"" x 5.512"" x 9.606""","11.136 L, 0.393 ft³"
Fractal Design Ridge PCIe 4.0         (1),Fractal Design,FD-C-RID1N-11,Mini ITX Tower,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"325 mm / 12.795"" With Drive Cages, 335 mm / 13.189"" Without Drive Cages","4 x Internal 2.5""",3 x Full-Height via Riser,"374 mm x 110 mm x 395 mm, 14.724"" x 4.331"" x 15.551""","16.25 L, 0.574 ft³"
Lian Li O11 Vision         (15),Lian Li,"PC-O11VW, O11VW",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455 mm / 17.913""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"480 mm x 304 mm x 464.5 mm, 18.898"" x 11.969"" x 18.287""","67.78 L, 2.394 ft³"
